area,type,BHK,sqft,price,unit
Memnagar,Apartment,4,4691,3.08,Cr
Narolgam,Apartment,1,756,17.43,L
Memnagar,Apartment,4,1620,82,L
Nava Naroda,Villa,5,3447,1.6,Cr
Narolgam,Apartment,1,720,14.5,L
Chandkheda,Apartment,2,577,32.49,L
Ranip,Apartment,2,1032,50,L
Lambha,Independent House,3,1660,33.51,L
Navrangpura,Apartment,3,2232,1.56,Cr
Ambavadi,Apartment,3,2223,1.22,Cr
Ghodsar,Independent House,4,1179,95,L
Chandkheda,Apartment,2,621,34,L
Prahlad Nagar,Apartment,2,1210,44.99,L
New Maninagar,Apartment,2,882,26,L
Jodhpur,Apartment,3,1750,95,L
Bavla,Independent House,3,1440,35,L
Vastrapur,Apartment,3,2230,1.18,Cr
Motera,Villa,4,4140,2.5,Cr
Near Nirma University On SG Highway,Apartment,2,838,58.4,L
Bopal,Apartment,4,4508,1.89,Cr
Gota,Apartment,3,4400,1.67,Cr
Gota,Apartment,3,1935,62.4,L
Jodhpur Village,Apartment,3,1854,1.31,Cr
Shela,Apartment,3,786,54.24,L
Jodhpur Village,Apartment,3,1782,89.1,L
Thaltej,Apartment,3,1700,1.25,Cr
Prahlad Nagar,Apartment,3,1881,1.15,Cr
Prahlad Nagar,Apartment,2,1400,75,L
Bopal,Villa,3,2300,85,L
Near Nirma University On SG Highway,Apartment,2,1350,44,L
Vastrapur,Apartment,3,1815,1.08,Cr
Bopal,Apartment,2,583,39.21,L
Jodhpur Village,Apartment,3,2507,1.67,Cr
Chanakyapuri,Apartment,3,1629,79,L
Paldi,Apartment,3,1854,1.15,Cr
Thaltej,Apartment,3,1961,1,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,5,4531,3.5,Cr
Chandkheda,Independent House,5,3240,2.2,Cr
Rambaug,Apartment,1,700,53,L
Makarba,Apartment,1,1030,50,L
Bopal,Villa,3,1800,1.2,Cr
Sachana,Independent House,1,900,21,L
Science City,Independent House,7,9450,9,Cr
Navrangpura,Apartment,5,4500,2.5,Cr
Satellite,Apartment,2,2086,1.2,Cr
Shilaj,Apartment,3,1755,75,L
Bopal,Villa,3,1980,1.35,Cr
Bopal,Independent House,3,1665,82,L
Bopal,Apartment,3,1376,60,L
Kudasan,Apartment,2,1161,45,L
Hathijan,Apartment,3,1512,22.68,L
Shilaj,Apartment,3,764,61.99,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,691,42.15,L
Shela,Apartment,3,1500,47,L
Near Nirma University On SG Highway,Apartment,1,600,23,L
Shilaj,Apartment,3,1310,63,L
Satellite,Apartment,3,1600,85,L
Gota,Apartment,2,1125,45,L
Bodakdev,Apartment,3,2000,1.33,Cr
Maninagar,Apartment,3,1485,67,L
Jodhpur Village,Apartment,3,1755,1.04,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1427,53,L
Thaltej,Apartment,4,2799,2.21,Cr
Vejalpur,Apartment,2,1350,59,L
Gota,Apartment,2,1224,36,L
Bopal,Apartment,2,1195,40.05,L
Shela,Apartment,3,786,54.24,L
Vastral,Apartment,1,540,17,L
Thaltej,Apartment,3,1385,66.48,L
Science City,Apartment,3,2052,1.25,Cr
Prahlad Nagar,Apartment,3,2018,1.3,Cr
Prahlad Nagar,Apartment,3,1700,86,L
Shela,Apartment,1,400,17.13,L
Chanakyapuri,Apartment,4,3120,1.63,Cr
Palodia,Villa,4,2340,1.9,Cr
Vejalpur,Apartment,1,660,28,L
Near Vaishno Devi Circle On SG Highway,Villa,4,4761,4.8,Cr
Gota,Apartment,2,1125,46,L
Ambli,Apartment,3,2675,2.1,Cr
Bodakdev,Apartment,4,2000,2,Cr
Shela,Villa,4,2313,2.5,Cr
Near Nirma University On SG Highway,Apartment,2,1425,56.55,L
Chandkheda,Apartment,2,1026,30,L
Chandkheda,Apartment,2,1035,35,L
Bopal,Apartment,3,845,54.95,L
Shela,Independent House,3,3500,1.5,Cr
Memnagar,Apartment,3,2400,1.55,Cr
kolat,Independent House,2,1350,90.75,L
Bodakdev,Apartment,3,1900,60,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,52,L
Near Nirma University On SG Highway,Apartment,2,1305,45,L
Vastrapur,Apartment,2,1100,55,L
Paldi,Apartment,3,1845,91,L
Near Nirma University On SG Highway,Apartment,2,1350,43,L
Chandkheda,Apartment,1,1026,27,L
Vasna,Apartment,2,1260,60,L
Near Nirma University On SG Highway,Apartment,2,1167,46,L
Adraj,Apartment,2,1108,58,L
Memnagar,Apartment,4,4170,2.74,Cr
Memnagar,Apartment,3,2856,1.87,Cr
Memnagar,Apartment,3,2796,1.83,Cr
Memnagar,Apartment,3,2787,1.83,Cr
Memnagar,Apartment,3,2993,1.96,Cr
Narolgam,Apartment,2,1134,39.94,L
Narolgam,Apartment,2,1053,25.27,L
Memnagar,Apartment,3,2573,1.69,Cr
Chandkheda,Apartment,2,560,31.99,L
Chandkheda,Apartment,2,585,33.8,L
Sachana,Apartment,2,972,18.5,L
Navrangpura,Apartment,4,3422,2.39,Cr
Shilaj,Apartment,3,1540,61.89,L
Ambavadi,Apartment,3,2097,1.15,Cr
Navrangpura,Apartment,4,3807,2.28,Cr
Bavla,Independent House,2,1080,21.99,L
Bavla,Independent House,2,1440,29,L
Bavla,Independent House,2,1800,37,L
Bavla,Independent House,1,720,15.99,L
Bavla,Independent House,4,9000,1.09,Cr
Bavla,Independent House,3,4500,63.99,L
Chandkheda,Independent House,4,4095,1.85,Cr
Near Nirma University On SG Highway,Apartment,2,602,42.31,L
Near Nirma University On SG Highway,Apartment,2,822,57.66,L
Near Nirma University On SG Highway,Apartment,1,679,47.14,L
Near Nirma University On SG Highway,Apartment,2,624,43.88,L
Near Nirma University On SG Highway,Apartment,3,1048,84.13,L
Near Nirma University On SG Highway,Apartment,2,616,43.27,L
Near Nirma University On SG Highway,Apartment,2,833,58.4,L
Near Nirma University On SG Highway,Apartment,2,615,43.23,L
Near Nirma University On SG Highway,Apartment,1,700,49,L
Sughad,Apartment,2,1170,35.5,L
Motera,Apartment,3,1746,65,L
Motera,Villa,2,2034,1.3,Cr
Chandkheda,Apartment,3,1764,58.6,L
Chandkheda,Apartment,3,1746,56,L
Bhat,Apartment,3,2250,75,L
Motera,Apartment,2,1800,63,L
Motera,Apartment,2,1800,57,L
Motera,Apartment,3,1935,60.41,L
Chandkheda,Apartment,3,1764,60,L
Bhat,Apartment,3,2250,74.75,L
Chandkheda,Apartment,3,1701,51,L
Sughad,Apartment,2,1170,36,L
Chandkheda,Apartment,3,2025,74.25,L
Bhat,Apartment,3,2250,1.1,Cr
Chandkheda,Apartment,2,1800,65.4,L
Chandkheda,Apartment,3,1935,64.5,L
Motera,Apartment,3,1890,65.1,L
Chandkheda,Apartment,3,1620,53.82,L
Chandkheda,Apartment,3,1764,58.8,L
Motera,Apartment,3,1935,60.2,L
Motera,Apartment,3,1935,66.65,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,3091,1.11,Cr
Chandkheda,Apartment,3,1719,54,L
Motera,Villa,4,3690,1.8,Cr
Chandkheda,Apartment,3,2520,1.25,Cr
Chandkheda,Apartment,2,2025,74.25,L
Chandkheda,Apartment,2,1800,66,L
Chandkheda,Apartment,3,2790,1.25,Cr
Sughad,Apartment,2,1170,36.5,L
Chandkheda,Apartment,3,1998,66.6,L
Chandkheda,Apartment,3,1710,61,L
Vastrapur,Apartment,3,3373,1.78,Cr
Vastrapur,Apartment,3,3390,1.79,Cr
Chandkheda,Apartment,3,1710,62,L
Chandkheda,Apartment,3,2160,85,L
Chandkheda,Villa,3,2475,1.75,Cr
Motera,Villa,2,2250,1.5,Cr
Chandkheda,Apartment,1,1125,35,L
Chandkheda,Apartment,2,1890,70,L
Motera,Apartment,3,1710,60,L
Motera,Villa,2,1800,1.35,Cr
Chandkheda,Apartment,2,1980,80,L
Chandkheda,Villa,3,3204,2.5,Cr
Motera,Apartment,3,1710,60,L
Motera,Apartment,1,1287,47,L
Chandkheda,Villa,3,1375,2.21,Cr
Motera,Apartment,3,1800,65,L
Chandkheda,Villa,2,2070,1.2,Cr
Chandkheda,Apartment,2,1170,40,L
Motera,Villa,3,2475,1.95,Cr
Gota,Apartment,3,4400,1.67,Cr
Chandkheda,Apartment,1,1125,34.9,L
Motera,Apartment,3,1620,65,L
Shela,Apartment,3,786,54.24,L
Shela,Apartment,3,789,54.45,L
Shela,Apartment,3,789,54.46,L
Shela,Villa,3,2313,2.25,Cr
Bopal,Villa,2,1710,90,L
Bopal,Villa,2,1620,1.06,Cr
Gota,Apartment,3,1746,56.3,L
Bopal,Apartment,3,1430,42.19,L
Bopal,Apartment,4,3315,1.39,Cr
Shela,Apartment,2,656,31.57,L
Shela,Apartment,3,789,54.45,L
Shela,Apartment,3,789,54.46,L
Chandkheda,Villa,4,2250,1.4,Cr
Vastrapur,Apartment,4,3230,1.71,Cr
Vastrapur,Apartment,4,2283,1.2,Cr
Motera,Villa,3,1575,1.1,Cr
Motera,Apartment,3,1794,65.5,L
Motera,Apartment,3,1794,65,L
Jodhpur Village,Apartment,2,1143,57.15,L
Jodhpur Village,Apartment,2,1107,55.35,L
Jodhpur Village,Apartment,2,1089,54.45,L
Jodhpur Village,Apartment,2,1053,52.65,L
Jodhpur Village,Apartment,3,1782,89.1,L
Jodhpur Village,Apartment,2,1260,63,L
Jodhpur Village,Apartment,2,1125,56.25,L
Jodhpur Village,Apartment,3,1836,91.8,L
Jodhpur Village,Apartment,3,1638,81.9,L
Motera,Apartment,2,972,31,L
Motera,Apartment,2,972,31.5,L
Motera,Apartment,2,1197,48,L
Motera,Apartment,3,1800,70,L
Chandkheda,Apartment,3,2000,79,L
Chandkheda,Apartment,4,2515,98,L
Chandkheda,Apartment,3,2170,86,L
Chandkheda,Apartment,3,1935,73.5,L
Chandkheda,Apartment,4,2720,1.07,Cr
Chandkheda,Apartment,3,2062,81,L
Gota,Apartment,2,954,30,L
Jodhpur Village,Apartment,3,2750,1.78,Cr
Bodakdev,Apartment,4,4133,3.15,Cr
Satellite,Apartment,3,1845,1.25,Cr
Ambli,Apartment,4,3850,3.27,Cr
Prahlad Nagar,Apartment,4,3000,2.38,Cr
Prahlad Nagar,Apartment,4,2675,1.91,Cr
Prahlad Nagar,Apartment,3,1980,1.58,Cr
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1400,75,L
Prahlad Nagar,Apartment,2,1050,50,L
Bopal,Apartment,3,1980,81,L
Prahlad Nagar,Apartment,3,2040,1.4,Cr
Prahlad Nagar,Apartment,4,2754,1.65,Cr
Bopal,Villa,4,2600,1,Cr
Bopal,Villa,4,3100,2,Cr
Bopal,Villa,4,2500,1.15,Cr
Bopal,Apartment,3,1850,85,L
Bopal,Apartment,3,1600,80,L
Bopal,Villa,4,3000,1.5,Cr
Bopal,Villa,4,3000,1.75,Cr
Prahlad Nagar,Apartment,4,2675,1.91,Cr
Prahlad Nagar,Apartment,3,1881,1.15,Cr
Bopal,Independent House,3,1485,90,L
Bopal,Independent House,3,1485,90,L
Makarba,Apartment,2,1665,75,L
Prahlad Nagar,Apartment,4,2420,1.5,Cr
Gota,Apartment,2,954,30,L
Jodhpur Village,Apartment,3,2750,1.78,Cr
Bodakdev,Apartment,4,4133,3.15,Cr
Satellite,Apartment,3,1845,1.25,Cr
Satellite,Villa,4,3762,5,Cr
Satellite,Apartment,3,1845,1.25,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1494,49,L
Chandkheda,Apartment,4,2943,1.09,Cr
Chandkheda,Apartment,4,2943,1.09,Cr
Chandkheda,Apartment,3,2943,1.1,Cr
Near Nirma University On SG Highway,Apartment,2,1350,44,L
Shela,Apartment,4,2300,1.25,Cr
Bopal,Apartment,4,2340,90,L
Gota,Apartment,2,954,30,L
Bopal,Apartment,3,2115,1.18,Cr
Prahlad Nagar,Apartment,3,1900,1,Cr
Bopal,Apartment,3,1800,81,L
Jodhpur,Apartment,3,1341,85,L
Prahlad Nagar,Apartment,3,2010,1.25,Cr
Vejalpur,Apartment,2,850,33,L
Jodhpur Village,Apartment,3,2507,1.68,Cr
Jodhpur Village,Apartment,3,2750,1.78,Cr
Shela,Apartment,3,812,43.4,L
Bopal,Independent House,3,990,77,L
Jodhpur Village,Apartment,3,1791,1.3,Cr
Satellite,Apartment,3,2133,1.6,Cr
Prahlad Nagar,Apartment,3,1705,95,L
Bopal,Villa,4,2880,1.75,Cr
Satellite,Apartment,4,3800,2.62,Cr
Thaltej,Independent House,4,3501,4.5,Cr
Ghuma,Independent House,4,2250,1.25,Cr
Ghuma,Villa,3,1629,1.1,Cr
Bopal,Independent House,3,1035,85,L
Vastrapur,Apartment,3,1615,96.33,L
Vastrapur,Apartment,3,1885,1.12,Cr
Vastrapur,Apartment,3,1585,94.54,L
Vastrapur,Apartment,3,2020,1.2,Cr
Vastrapur,Apartment,4,2415,1.44,Cr
Bopal,Apartment,3,1435,44.49,L
Shela,Apartment,3,1435,46,L
Bopal,Apartment,4,3030,96.96,L
Bopal,Apartment,3,1985,63.52,L
Bopal,Apartment,3,1725,85,L
Bopal,Apartment,3,1413,68,L
Bopal,Apartment,2,1260,60,L
Bopal,Independent House,4,2700,2,Cr
Bopal,Apartment,4,3538,1.41,Cr
Chandkheda,Villa,2,1485,71.1,L
Adalaj,Villa,3,4950,2.99,Cr
Adalaj,Villa,3,4950,2.98,Cr
Adalaj,Villa,3,4950,2.97,Cr
Adalaj,Villa,3,4950,3.01,Cr
Adalaj,Villa,3,4950,3,Cr
Chandkheda,Villa,2,1485,70.9,L
Vastrapur,Apartment,3,920,1.01,Cr
Vastrapur,Apartment,3,903,99,L
Bopal,Apartment,3,1450,80,L
Bopal,Apartment,4,3600,2.5,Cr
Bopal,Apartment,4,2825,1.15,Cr
Ambavadi,Apartment,4,4041,2.37,Cr
Ambavadi,Apartment,4,3447,2.07,Cr
Ambavadi,Apartment,4,2943,1.75,Cr
Ambavadi,Apartment,4,2943,1.75,Cr
Ambavadi,Apartment,3,2295,1.37,Cr
Ambavadi,Apartment,3,2295,1.37,Cr
Vastrapur,Apartment,4,1378,1.51,Cr
Vastrapur,Apartment,3,1075,1.08,Cr
Shela,Apartment,3,1876,87,L
Bopal,Apartment,3,1600,75,L
Bopal,Apartment,3,1470,85,L
Shela,Apartment,3,1708,45,L
Bopal,Apartment,3,2350,1.1,Cr
Bopal,Apartment,2,1175,37.01,L
