area,type,BHK,sqft,price,unit
Chanakyapuri,Apartment,3,1845,93,L
Visalpur,Apartment,1,720,13.21,L
Hathijan,Apartment,3,1512,25.2,L
Narolgam,Apartment,3,1539,35.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,873,57.01,L
Kasindra,Villa,4,1755,55,L
Ghuma,Apartment,2,1305,41,L
Vatva,Villa,4,1761,80,L
Usman Pura,Apartment,3,1144,1.57,Cr
Gota,Independent House,4,4150,1.59,Cr
Ambli,Apartment,4,3938,2.45,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1683,54.19,L
Near Nirma University On SG Highway,Apartment,2,1290,44.9,L
Bopal,Apartment,3,2160,92.88,L
Nava Naroda,Apartment,2,1062,25,L
Changodar,Apartment,2,918,21.17,L
Vastrapur,Apartment,4,2727,1.81,Cr
Shilaj,Apartment,3,1512,55.44,L
Bopal,Apartment,3,1460,56,L
Chandkheda,Apartment,3,1440,45.6,L
Vastral,Apartment,2,1350,37.5,L
Gota,Apartment,2,1242,50,L
Chandkheda,Apartment,2,1170,51,L
Sanathal,Apartment,3,1750,50,L
Narolgam,Apartment,2,400,22,L
Sanand,Apartment,3,1750,60,L
Ghatlodiya,Apartment,2,1050,45,L
Mahadev Nagar,Independent Floor,2,800,31,L
New Ranip,Independent Floor,2,1150,35,L
Koteshwar,Apartment,2,1332,50,L
Ghatlodiya,Apartment,2,970,39,L
Thaltej,Apartment,4,7000,9,Cr
Nikol,Independent House,3,900,45,L
Maninagar,Apartment,4,2250,1.6,Cr
Ghatlodiya,Apartment,4,2700,1.5,Cr
Prahlad Nagar,Apartment,2,1236,48,L
Maninagar,Apartment,2,900,48,L
Nava Naroda,Villa,3,1500,90,L
Isanpur,Independent House,1,728,30,L
Ghatlodiya,Apartment,2,765,42,L
Paldi,Apartment,2,972,60,L
Bopal,Apartment,2,1080,45,L
Amraiwadi,Independent House,3,1620,90,L
Satyam Nagar,Independent House,3,810,27,L
Maninagar,Independent House,4,4500,2.81,Cr
Satellite,Apartment,3,1260,70,L
Naroda,Apartment,2,1100,26,L
Vastral,Villa,3,1035,85,L
Jodhpur,Apartment,3,1575,1.2,Cr
Jodhpur,Apartment,2,1035,38,L
Bopal,Apartment,2,1053,41,L
Navrangpura,Apartment,2,1800,70,L
Bodakdev,Apartment,3,1728,1,Cr
Shela,Apartment,3,1510,40.77,L
Naroda,Independent House,3,1350,95,L
Nikol,Apartment,2,936,28,L
Ambavadi,Apartment,4,3447,2.13,Cr
Prahlad Nagar,Apartment,2,1700,47,L
Nava Naroda,Apartment,2,1020,20.5,L
Maninagar,Apartment,2,855,43,L
Memnagar,Apartment,3,1509,1,Cr
Navrangpura,Apartment,2,1017,65,L
Memnagar,Apartment,3,2471,1.25,Cr
Thaltej,Apartment,3,1745,88.99,L
Thaltej,Apartment,3,1800,1.5,Cr
Bodakdev,Apartment,3,2000,80,L
Makarba,Apartment,4,2650,1.5,Cr
Vatva,Independent Floor,1,500,12,L
Satellite,Apartment,2,1035,42,L
Nikol,Apartment,2,1000,38,L
Sola,Apartment,2,1314,70.07,L
Odhav,Apartment,2,710,30,L
Jagatpur,Apartment,2,1272,49,L
Bodakdev,Apartment,3,3000,98,L
Ambavadi,Apartment,4,3265,2.21,Cr
Chandkheda,Apartment,2,945,34.99,L
Naroda,Independent House,4,1600,63,L
Bodakdev,Apartment,4,3280,2.13,Cr
Ellisbridge,Apartment,4,4275,3.3,Cr
Ellisbridge,Apartment,3,2349,1.5,Cr
Ghodsar,Apartment,2,852,30,L
Nikol,Apartment,2,1215,45,L
Lambha,Independent House,3,1660,36,L
Shahibuag,Villa,4,4050,5.5,Cr
Changodar,Villa,3,1440,33.69,L
Navrangpura,Apartment,2,1000,60,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,816,37.5,L
Kuha,Independent House,2,2610,43,L
Maninagar,Apartment,2,1070,61.14,L
Shela,Apartment,3,786,63.31,L
Sanand,Apartment,3,1440,29.5,L
Nikol,Villa,4,2160,1.05,Cr
Memnagar,Apartment,4,4500,3,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Motera,Apartment,2,1035,43,L
Sanand,Apartment,2,1215,20,L
Bodakdev,Apartment,3,1215,75,L
Chandkheda,Apartment,2,1233,57,L
Visalpur,Apartment,1,695,14.4,L
Visalpur,Apartment,2,1065,21.3,L
Hathijan,Apartment,3,1422,21.33,L
Hathijan,Apartment,2,1125,16.87,L
Narolgam,Apartment,2,1179,27,L
Narolgam,Apartment,2,1053,23.25,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1016,66.34,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,691,45.7,L
Ghuma,Apartment,2,1171,37,L
Vatva,Villa,3,1087,55,L
Vatva,Villa,3,1168,55,L
Usman Pura,Apartment,3,1136,1.56,Cr
Bodakdev,Apartment,4,4760,3.8,Cr
Bodakdev,Apartment,5,5375,4.56,Cr
Ambavadi,Apartment,3,2160,1.29,Cr
Ambavadi,Apartment,3,2223,1.33,Cr
Ambavadi,Apartment,3,2097,1.25,Cr
Ambavadi,Apartment,3,2178,1.3,Cr
Bopal,Apartment,3,1920,82.56,L
Bopal,Apartment,3,1825,78.47,L
Bopal,Apartment,3,2030,87.29,L
Nava Naroda,Apartment,2,1062,25,L
Changodar,Apartment,1,639,14.93,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,2,1170,37.6,L
Vastral,Apartment,3,1755,48.75,L
Navrangpura,Apartment,4,3807,2.47,Cr
Gota,Apartment,3,1692,67,L
Bavla,Independent House,4,9000,1.35,Cr
Bavla,Independent House,2,1080,32.49,L
Bavla,Independent House,3,1800,52,L
Bavla,Independent House,1,720,22.99,L
Bavla,Independent House,4,4500,89.01,L
Bavla,Independent House,3,4500,81.99,L
Sanand,Villa,3,2007,71,L
Chandkheda,Apartment,3,2250,68.5,L
Shela,Villa,4,3600,3.7,Cr
Shela,Villa,4,3600,4,Cr
Bopal,Apartment,2,1080,38,L
Bodakdev,Apartment,3,1980,1,Cr
Bopal,Apartment,5,4500,1.26,Cr
Bopal,Apartment,5,4500,1.26,Cr
Bopal,Apartment,2,1235,50,L
Shela,Apartment,1,624,28,L
Bopal,Villa,2,1080,75,L
Bopal,Villa,2,1200,95,L
Bopal,Apartment,2,1170,58,L
